pri_sch_name,pri_sch_latitude,pri_sch_longitude,
Admiralty Primary School,1.442679617,103.8001144,
Ahmad Ibrahim Primary School,1.433681207,103.8329243,
Ai Tong School,1.360736365,103.8330757,1
Alexandra Primary School,1.291299035,103.8239408,
Anchor Green Primary School,1.390662478,103.8872561,
Anderson Primary School,1.384665965,103.8412384,
Ang Mo Kio Primary School,1.369092065,103.8390414,
Angsana Primary School,1.348571433,103.951673,
Beacon Primary School,1.384236677,103.7737544,
Bedok Green Primary School,1.323996276,103.937745,
Bendemeer Primary School,1.322208475,103.8653513,
Blangah Rise Primary School,1.276130304,103.8086392,
Boon Lay Garden Primary School,1.342846708,103.712969,
Bukit Panjang Primary School,1.373472192,103.7693175,
Bukit View Primary School,1.345945246,103.7535888,
Canberra Primary School,1.451064007,103.8159709,
Canossa Catholic Primary School,1.32651106,103.8817569,
Cantonment Primary School,1.275505441,103.8399227,
Casuarina Primary School,1.372789016,103.9572913,
Catholic High School,1.354788877,103.8449341,1
Cedar Primary School,1.335641223,103.8754913,1
Changkat Primary School,1.340208008,103.9521834,
CHIJ,1.276029248,103.8223439,
CHIJ Our Lady of Good Counsel,1.357951427,103.8642502,
CHIJ Our Lady of The Nativity,1.373174017,103.8976594,
CHIJ Our Lady Queen of Peace,1.366758014,103.7676948,
CHIJ Primary,1.332818153,103.8419184,
CHIJ Saint Nicholas Girls' School,1.373729673,103.8343089,1
Chongfu School,1.438462312,103.8390707,
Chongzheng Primary School,1.350594769,103.9512252,
Chua Chu Kang Primary School,1.377743283,103.7418605,
Clementi Primary School,1.315808563,103.7630548,
Compassvale Primary School,1.394529831,103.8978648,
Concord Primary School,1.380411513,103.7361428,
Corporation Primary School,1.35148549,103.7075784,
Damai Primary School,1.335351315,103.9212683,
Dazhong Primary School,1.359058992,103.7481615,
De La Salle School,1.395071916,103.7434436,
East Spring Primary School,1.353041046,103.9617971,
Edgefield Primary School,1.400297835,103.9074305,
Elias Park Primary School,1.375033032,103.9453578,
Endeavour Primary School,1.45417629,103.8174273,
Eunos Primary School,1.324388358,103.9043748,
Evergreen Primary School,1.444148359,103.7945453,
Fairfield Methodist School,1.300798691,103.7856922,
Farrer Park Primary School,1.312504162,103.8509027,
